Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
accels,"""<Actions>/ShellActions/Show «Hidden« Files"" ""<Primary>h"")
;","/img_debianFinalProject.E01/vol_vol2/home/debian/.config/caja/accels","2024-10-08 23:29:26 CEST","2024-10-08 23:29:26 CEST","2024-10-08 23:28:56 CEST","2024-07-31 21:58:07 CEST",8939,Allocated,Allocated,unknown,"cae35499d4ea72bf73fb2ef998ac7c08","999e37cd361cec03058956dddab91f598b736a84f4875027b8bd279370c4a756",text/plain,
Web.pm,"""<form><input type=«hidden« name=formid value=$formid>\n""","/img_debianFinalProject.E01/vol_vol2/usr/share/perl5/Debconf/FrontEnd/Web.pm","2023-01-08 22:50:51 CET","2024-07-31 18:14:10 CEST","2024-07-31 18:14:03 CEST","2024-07-31 18:14:10 CEST",2665,Allocated,Allocated,unknown,,,text/x-perl,pm
pci.ids,"Hot-Plug Controller («hidden« mode)
	123f  82466GX","/img_debianFinalProject.E01/vol_vol2/usr/share/misc/pci.ids","2023-04-11 03:15:26 CEST","2024-07-31 18:16:13 CEST","2024-07-31 18:16:13 CEST","2024-07-31 18:16:13 CEST",1362280,Allocated,Allocated,unknown,,,text/plain,ids
00000002.html,"class=""switchinline""
39) span: «hidden«=""true"" id=""MACtextsba","/img_debianFinalProject.E01/vol_vol2/usr/share/libreoffice/help/en-US/text/sbasic/shared/00000002.html","2024-08-22 18:44:46 CEST","2024-09-30 16:30:45 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:30:27 CEST",6978,Allocated,Allocated,unknown,,,text/html,html
03040000.html,"files.

ATTR_HIDDEN

2

«Hidden« file

ATTR_SYSTEM

4","/img_debianFinalProject.E01/vol_vol2/usr/share/libreoffice/help/en-US/text/sbasic/shared/03040000.html","2024-08-22 18:44:46 CEST","2024-09-30 16:30:46 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:30:29 CEST",62785,Allocated,Allocated,unknown,,,text/html,html
DjVuXML-s.dtd,"--===================== «HIDDEN« TEXT LAYER ==========","/img_debianFinalProject.E01/vol_vol2/usr/share/djvu/pubtext/DjVuXML-s.dtd","2021-05-10 19:56:59 CEST","2024-07-31 19:30:55 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:30:55 CEST",5499,Allocated,Allocated,unknown,,,text/xml,dtd
Tk.so,"must be normal, active, «hidden« or disabledbad orientation","/img_debianFinalProject.E01/vol_vol2/usr/lib/x86_64-linux-gnu/perl5/5.36/auto/Tk/Tk.so","2023-03-23 13:03:24 CET","2024-07-31 19:38:34 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:34 CEST",975336,Allocated,Allocated,unknown,,,application/x-sharedlib,so
mate-panel.mo,"Click here to restore «hidden« windows.Click on a window","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/en_CA/LC_MESSAGES/mate-panel.mo","2022-09-23 10:11:45 CEST","2024-07-31 19:36:46 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:36:46 CEST",43422,Allocated,Allocated,unknown,,,application/octet-stream,mo
DjVuOCR.dtd,"<!--================= «HIDDEN« TEXT LAYER ==========","/img_debianFinalProject.E01/vol_vol2/usr/share/djvu/pubtext/DjVuOCR.dtd","2021-05-10 19:56:59 CEST","2024-07-31 19:30:55 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:30:55 CEST",1783,Allocated,Allocated,unknown,,,text/xml,dtd
index.docbook,"xml:lang=""en"">To show a «hidden« menubar:</term>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/sv/mate-terminal/index.docbook","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",57234,Allocated,Allocated,unknown,,,text/xml,docbook
index.docbook,"xml:lang=""en"">To show a «hidden« menubar:</term>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/lv/mate-terminal/index.docbook","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",58740,Allocated,Allocated,unknown,,,text/xml,docbook
mate-utils.mo,"PaneShow Status BarShow «hidden« and backup filesShow more","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/en_CA/LC_MESSAGES/mate-utils.mo","2023-12-30 11:48:33 CET","2024-07-31 19:38:08 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:08 CEST",35309,Allocated,Allocated,unknown,,,application/octet-stream,mo
latest-posts.php,"1: A URL to a post, 2: «Hidden« accessibility text: Post","/img_debianFinalProject.E01/vol_vol2/var/www/html/wp-includes/blocks/latest-posts.php","2024-05-23 21:39:28 CEST","2024-10-08 22:18:00 CEST","2024-10-08 22:49:46 CEST","2024-09-30 17:56:21 CEST",8550,Allocated,Allocated,unknown,,,text/x-php,php
gtk30-properties.mo,"last input character in «hidden« entriesHow the size of","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sl/LC_MESSAGES/gtk30-properties.mo","2024-07-19 12:57:06 CEST","2024-09-30 16:28:20 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:28:19 CEST",201983,Allocated,Allocated,unknown,,,application/octet-stream,mo
03020103.html,"class=""switch""
72) span: «hidden«=""true"" id=""WINtextsba","/img_debianFinalProject.E01/vol_vol2/usr/share/libreoffice/help/en-US/text/sbasic/shared/03020103.html","2024-08-22 18:44:46 CEST","2024-09-30 16:30:46 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:30:29 CEST",10528,Allocated,Allocated,unknown,,,text/html,html
udisks2.mo,"npart-type
«Hidden« FAT12part-type
«Hidden« FAT16part-type","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sl/LC_MESSAGES/udisks2.mo","2022-12-07 17:02:25 CET","2024-07-31 19:31:52 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:52 CEST",32434,Allocated,Allocated,unknown,,,application/octet-stream,mo
caja.mo,"(~).If set to true, then «hidden« files are shown by default","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sl/LC_MESSAGES/caja.mo","2023-12-27 14:44:09 CET","2024-07-31 19:31:47 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:47 CEST",138975,Allocated,Allocated,unknown,,,application/octet-stream,mo
mate-desktop.mo,"automatically shown and «hidden« when the user presses","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sl/LC_MESSAGES/mate-desktop.mo","2023-04-25 16:35:44 CEST","2024-07-31 19:31:56 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:56 CEST",35878,Allocated,Allocated,unknown,,,application/octet-stream,mo
HList.so,"includes or set
exists, «hidden«, item, next, parent, prev","/img_debianFinalProject.E01/vol_vol2/usr/lib/x86_64-linux-gnu/perl5/5.36/auto/Tk/HList/HList.so","2023-03-23 13:03:24 CET","2024-07-31 19:38:34 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:34 CEST",73296,Allocated,Allocated,unknown,,,application/x-sharedlib,so
glib20.mo,"changesMount a TCRYPT «hidden« volumeMount a TCRYPT system","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sl/LC_MESSAGES/glib20.mo","2024-05-14 12:11:32 CEST","2024-07-31 19:31:54 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:54 CEST",134894,Allocated,Allocated,unknown,,,application/octet-stream,mo
style-rtl.min.css,"wp-block-search__searchfield-«hidden«,.wp-block-search.wp-b","/img_debianFinalProject.E01/vol_vol2/var/www/html/wp-includes/blocks/search/style-rtl.min.css","2024-06-18 15:19:30 CEST","2024-10-08 22:18:00 CEST","2024-09-30 17:55:17 CEST","2024-09-30 17:56:21 CEST",2454,Allocated,Allocated,unknown,,,text/css,css
gtk30-properties.mo,"last input character in «hidden« entriesHow the size of","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/it/LC_MESSAGES/gtk30-properties.mo","2024-07-19 12:57:06 CEST","2024-09-30 16:28:20 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:28:18 CEST",213429,Allocated,Allocated,unknown,,,application/octet-stream,mo
style.min.css,"wp-block-search__searchfield-«hidden«,.wp-block-search.wp-b","/img_debianFinalProject.E01/vol_vol2/var/www/html/wp-includes/blocks/search/style.min.css","2024-06-18 15:19:30 CEST","2024-10-08 22:18:00 CEST","2024-09-30 17:55:17 CEST","2024-09-30 17:56:21 CEST",2453,Allocated,Allocated,unknown,,,text/css,css
udisks2.mo,"npart-type
«Hidden« FAT12part-type
«Hidden« FAT16part-type","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/it/LC_MESSAGES/udisks2.mo","2022-12-07 17:02:25 CET","2024-07-31 19:31:52 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:52 CEST",44618,Allocated,Allocated,unknown,,,application/octet-stream,mo
caja.mo,"(~).If set to true, then «hidden« files are shown by default","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/it/LC_MESSAGES/caja.mo","2023-12-27 14:44:09 CET","2024-07-31 19:31:47 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:46 CEST",162131,Allocated,Allocated,unknown,,,application/octet-stream,mo
gimp20.mo,"and other dialogs are «hidden«, leaving only image windows","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sl/LC_MESSAGES/gimp20.mo","2023-12-02 14:31:27 CET","2024-07-31 19:33:43 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:33:43 CEST",490033,Allocated,Allocated,unknown,,,application/octet-stream,mo
